Position,AbsA,Fraction,sample,MonoAbsA,M,P,PbyM
32.4,0.040365951446109584,NA,"sgCNOT1, 0.87",0.28932800000000003,18.634542,18.442545,0.87
32.5,0.041389011779018964,NA,"sgCNOT1, 0.87",0.28932800000000003,18.634542,18.442545,0.87
32.6,0.03972308245313278,NA,"sgCNOT1, 0.87",0.28932800000000003,18.634542,18.442545,0.87
32.7,0.0392426588508544,NA,"sgCNOT1, 0.87",0.28932800000000003,18.634542,18.442545,0.87
32.79,0.03776682519493449,NA,"sgCNOT1, 0.87",0.28932800000000003,18.634542,18.442545,0.87
32.89,0.03589351877453964,NA,"sgCNOT1, 0.87",0.28932800000000003,18.634542,18.442545,0.87
32.99,0.03417920145993472,NA,"sgCNOT1, 0.87",0.28932800000000003,18.634542,18.442545,0.87
33.09,0.033574351600951166,NA,"sgCNOT1, 0.87",0.28932800000000003,18.634542,18.442545,0.87
33.19,0.03161463805784439,NA,"sgCNOT1, 0.87",0.28932800000000003,18.634542,18.442545,0.87
33.29,0.029910689597964918,NA,"sgCNOT1, 0.87",0.28932800000000003,18.634542,18.442545,0.87
33.39,0.028320798540065226,NA,"sgCNOT1, 0.87",0.28932800000000003,18.634542,18.442545,0.87
33.49,0.0265442680971078,NA,"sgCNOT1, 0.87",0.28932800000000003,18.634542,18.442545,0.87
33.59,0.024581098269092494,NA,"sgCNOT1, 0.87",0.28932800000000003,18.634542,18.442545,0.87
33.69,0.022182436542609055,NA,"sgCNOT1, 0.87",0.28932800000000003,18.634542,18.442545,0.87
33.78,0.02179533263285961,NA,"sgCNOT1, 0.87",0.28932800000000003,18.634542,18.442545,0.87
33.89,0.01765815959741194,NA,"sgCNOT1, 0.87",0.28932800000000003,18.634542,18.442545,0.87
33.98,0.017112066581872466,NA,"sgCNOT1, 0.87",0.28932800000000003,18.634542,18.442545,0.87
34.08,0.013935740750981562,NA,"sgCNOT1, 0.87",0.28932800000000003,18.634542,18.442545,0.87
34.18,0.01313733893712326,NA,"sgCNOT1, 0.87",0.28932800000000003,18.634542,18.442545,0.87
34.28,0.009929906542056076,NA,"sgCNOT1, 0.87",0.28932800000000003,18.634542,18.442545,0.87
34.38,0.008810070231709325,NA,"sgCNOT1, 0.87",0.28932800000000003,18.634542,18.442545,0.87
34.48,0.006159099706907059,NA,"sgCNOT1, 0.87",0.28932800000000003,18.634542,18.442545,0.87
34.58,0.006490903058120902,NA,"sgCNOT1, 0.87",0.28932800000000003,18.634542,18.442545,0.87
34.67,0.0040023779240170535,NA,"sgCNOT1, 0.87",0.28932800000000003,18.634542,18.442545,0.87
34.77,0.002015014101642427,NA,"sgCNOT1, 0.87",0.28932800000000003,18.634542,18.442545,0.87
34.87,8.122269534922271e-4,NA,"sgCNOT1, 0.87",0.28932800000000003,18.634542,18.442545,0.87
34.97,0.0012891942708621298,NA,"sgCNOT1, 0.87",0.28932800000000003,18.634542,18.442545,0.87
35.07,2.7650279267819476e-4,NA,"sgCNOT1, 0.87",0.28932800000000003,18.634542,18.442545,0.87
35.17,0,NA,"sgCNOT1, 0.87",0.28932800000000003,18.634542,18.442545,0.87
35.27,7.05082121329411e-4,NA,"sgCNOT1, 0.87",0.28932800000000003,18.634542,18.442545,0.87
